Mesocosm,Organism,Length_mm,Treatment,Drymass_mg,Drymass_g
E1,Ceratopogonidae,4.68,4,0.12379543,0.000123795
E1,Ceratopogonidae,5.455,4,0.181667197,0.000181667
A7,Ceratopogonidae,4.99,0,0.145353304,0.000145353
A9,Ceratopogonidae,5.976,2,0.228262699,0.000228263
E1,Ceratopogonidae,4.939,4,0.141663421,0.000141663
G8,Ceratopogonidae,3.431,0,0.056916384,5.69164E-05
E1,Ceratopogonidae,6.305,4,0.261030362,0.00026103
H10,Chaoborus,9.527,0,0.019027161,1.90272E-05
B4,Chaoborus,10.615,0,0.022329576,2.23296E-05
H10,Chaoborus,8.502,0,0.016077188,1.60772E-05
H10,Chaoborus,10.314,0,0.021398879,2.13989E-05
D6,Chaoborus,10.872,0,0.023134326,2.31343E-05
B4,Chaoborus,10.172,0,0.020964295,2.09643E-05
A2,Chaoborus,11.381,0,0.024755169,2.47552E-05
B1,Chaoborus,10.253,1,0.021211837,2.12118E-05
H10,Chaoborus,9.002,0,0.017496074,1.74961E-05
D10,Chaoborus,8.856,0,0.017077745,1.70777E-05
H10,Chaoborus,10.128,0,0.020830224,2.08302E-05
B1,Chaoborus,10.701,1,0.02259784,2.25978E-05
H10,Chaoborus,10.639,0,0.022404336,2.24043E-05
H10,Chaoborus,9.243,0,0.018193742,1.81937E-05
B8,Chaoborus,11.53,0,0.025236333,2.52363E-05
G8,Chaoborus,10.334,0,0.02146032,2.14603E-05
H10,Chaoborus,11.525,0,0.025220138,2.52201E-05
H10,Chaoborus,10.782,0,0.022851456,2.28515E-05
G8,Chaoborus,9.183,0,0.018019223,1.80192E-05
D6,Chaoborus,11.021,0,0.023605106,2.36051E-05
D6,Chaoborus,11.47,0,0.025042214,2.50422E-05
H1,Chaoborus,9.115,0,0.017822095,1.78221E-05
A7,Chaoborus,9.965,0,0.020335988,2.0336E-05
D6,Chaoborus,10.769,0,0.02281069,2.28107E-05
G8,Chaoborus,9.987,0,0.02040247,2.04025E-05
G8,Chaoborus,9.092,0,0.017755578,1.77556E-05
H10,Chaoborus,8.058,0,0.0148503,1.48503E-05
G8,Chaoborus,5.111,0,0.007570204,7.5702E-06
H10,Chaoborus,8.165,0,0.015143074,1.51431E-05
H10,Chaoborus,10.244,0,0.021184286,2.11843E-05
D6,Chaoborus,8.687,0,0.016597635,1.65976E-05
G8,Chaoborus,8.456,0,0.015948617,1.59486E-05
H10,Chaoborus,10.754,0,0.022763682,2.27637E-05
H10,Chaoborus,10.154,0,0.020909414,2.09094E-05
G8,Chaoborus,10.254,0,0.021214899,2.12149E-05
D6,Chaoborus,8.366,0,0.015698035,1.5698E-05
B3,Chaoborus,9.438,6,0.018764683,1.87647E-05
G1,Chaoborus,10.194,2,0.021031436,2.10314E-05
G8,Chaoborus,9.703,0,0.019549687,1.95497E-05
H10,Chaoborus,11.242,0,0.024309016,2.4309E-05
H10,Chaoborus,9.437,0,0.01876174,1.87617E-05
H10,Chaoborus,10.542,0,0.02210268,2.21027E-05
G8,Chaoborus,9.495,0,0.018932651,1.89327E-05
A7,Chaoborus,10.466,0,0.021867259,2.18673E-05
H10,Chaoborus,9.225,0,0.018141329,1.81413E-05
F12,Chaoborus,8.082,2,0.014915807,1.49158E-05
D6,Chaoborus,11.01,0,0.023570245,2.35702E-05
H10,Chaoborus,11.375,0,0.024735856,2.47359E-05
H10,Chaoborus,10.148,0,0.020891131,2.08911E-05
H10,Chaoborus,10.351,0,0.021512589,2.15126E-05
A3,Chaoborus,9.277,5,0.018292879,1.82929E-05
D6,Chaoborus,11.374,0,0.024732638,2.47326E-05
H10,Chaoborus,9.875,0,0.020064752,2.00648E-05
G8,Chaoborus,12.442,0,0.028245961,2.8246E-05
D6,Chaoborus,9.159,0,0.017949568,1.79496E-05
H10,Chaoborus,9.508,0,0.018971027,1.8971E-05
B7,Chaoborus,9.576,3,0.019172175,1.91722E-05
B8,Chaoborus,11.617,0,0.025518666,2.55187E-05
G8,Chaoborus,8.284,0,0.015470851,1.54709E-05
G8,Chaoborus,9.152,0,0.017929268,1.79293E-05
H9,Chaoborus,10.752,1,0.022757417,2.27574E-05
D6,Chaoborus,11.898,0,0.026437497,2.64375E-05
H10,Chaoborus,9.877,0,0.020070766,2.00708E-05
D10,Chaoborus,10.263,0,0.021242463,2.12425E-05
G8,Chaoborus,9.558,0,0.019118863,1.91189E-05
D6,Chaoborus,11.265,0,0.024382658,2.43827E-05
B8,Chaoborus,12.04,0,0.02690581,2.69058E-05
E9,Chaoborus,9.861,2,0.020022665,2.00227E-05
A2,Chaoborus,5.156,0,0.007669057,7.66906E-06
H10,Chaoborus,8.417,0,0.015839874,1.58399E-05
H10,Chaoborus,10.603,0,0.022292226,2.22922E-05
G8,Chaoborus,9.151,0,0.017926369,1.79264E-05
H10,Chaoborus,8.871,0,0.017120573,1.71206E-05
D10,Chaoborus,10.312,0,0.021392738,2.13927E-05
H10,Chaoborus,9.773,0,0.019758782,1.97588E-05
A5,Chaoborus,7.921,1,0.014478157,1.44782E-05
D6,Chaoborus,10.84,0,0.023033621,2.30336E-05
H10,Chaoborus,9.864,0,0.020031681,2.00317E-05
H1,Chaoborus,5.017,0,0.007365057,7.36506E-06
G8,Chaoborus,10.005,0,0.020456916,2.04569E-05
H10,Chaoborus,10.328,0,0.021441881,2.14419E-05
G2,Chaoborus,10.083,1,0.020693394,2.06934E-05
H10,Chaoborus,10.565,0,0.022174086,2.21741E-05
G8,Chaoborus,10.822,0,0.022977037,2.2977E-05
H10,Chaoborus,8.616,0,0.01639726,1.63973E-05
D6,Chaoborus,9.947,0,0.020281646,2.02816E-05
A5,Chaoborus,9.646,1,0.019379957,1.938E-05
G8,Chaoborus,10.703,0,0.022604091,2.26041E-05
G8,Chaoborus,9.316,0,0.018406809,1.84068E-05
A5,Chaoborus,8.493,1,0.016052007,1.6052E-05
B1,Chaoborus,10.067,1,0.020644814,2.06448E-05
H10,Chaoborus,9.541,0,0.019068557,1.90686E-05
A5,Chaoborus,7.809,1,0.014176209,1.41762E-05
H10,Chaoborus,9.165,0,0.017966973,1.7967E-05
G8,Chaoborus,9.805,0,0.019854608,1.98546E-05
H10,Chaoborus,10.177,0,0.020979548,2.09795E-05
H10,Chaoborus,11.079,0,0.023789193,2.37892E-05
D10,Chaoborus,9.392,0,0.018629484,1.86295E-05
A5,Chaoborus,9.953,1,0.020299755,2.02998E-05
D6,Chaoborus,10.302,0,0.021362042,2.1362E-05
H10,Chaoborus,9.65,0,0.019391852,1.93919E-05
G2,Chaoborus,10.218,1,0.021104759,2.11048E-05
H10,Chaoborus,10.914,0,0.023266717,2.32667E-05
B4,Chaoborus,10.28,0,0.02129456,2.12946E-05
B8,Chaoborus,10.604,0,0.022295338,2.22953E-05
H10,Chaoborus,9.986,0,0.020399446,2.03994E-05
B8,Chaoborus,9.552,0,0.019101103,1.91011E-05
H10,Chaoborus,8.575,0,0.016281911,1.62819E-05
A1,Chironomidae,5.422,4,0.040470861,4.04709E-05
A1,Chironomidae,5.191,4,0.03607647,3.60765E-05
A1,Chironomidae,7.57,4,0.097672982,9.7673E-05
A1,Chironomidae,4.863,4,0.03036607,3.03661E-05
D6,Chironomidae,3.507,0,0.012811257,1.28113E-05
B1,Chironomidae,8.443,1,0.130290529,0.000130291
A9,Chironomidae,5.368,2,0.039415437,3.94154E-05
A1,Chironomidae,7.03,4,0.080338438,8.03384E-05
A1,Chironomidae,4.543,4,0.0253715,2.53715E-05
A1,Chironomidae,5.242,4,0.037019747,3.70197E-05
A1,Chironomidae,4.926,4,0.031415687,3.14157E-05
A1,Chironomidae,4.803,4,0.029386953,2.9387E-05
A1,Chironomidae,3.092,4,0.00918742,9.18742E-06
A1,Chironomidae,4.582,4,0.025950561,2.59506E-05
A1,Chironomidae,5.09,4,0.034252815,3.42528E-05
A9,Chironomidae,3.936,2,0.017374278,1.73743E-05
A9,Chironomidae,4.824,2,0.029727377,2.97274E-05
A1,Chironomidae,4.451,4,0.024037504,2.40375E-05
A9,Chironomidae,3.903,2,0.016992352,1.69924E-05
A1,Chironomidae,4.479,4,0.024438769,2.44388E-05
A9,Chironomidae,4.386,2,0.023121846,2.31218E-05
A1,Chironomidae,8.16,4,0.119075755,0.000119076
A1,Chironomidae,6.266,4,0.059294711,5.92947E-05
A1,Chironomidae,4.489,4,0.024583079,2.45831E-05
A1,Chironomidae,4.444,4,0.023937832,2.39378E-05
A1,Chironomidae,6.02,4,0.053345288,5.33453E-05
B1,Chironomidae,9.297,1,0.168029834,0.00016803
B1,Chironomidae,9.06,1,0.156956666,0.000156957
B1,Chironomidae,8.931,1,0.151125434,0.000151125
F8,Chironomidae,4.52,2,0.025033801,2.50338E-05
B1,Chironomidae,8.97,1,0.15287391,0.000152874
F8,Chironomidae,2.225,2,0.003854008,3.85401E-06
B1,Chironomidae,9.104,1,0.15897706,0.000158977
B1,Chironomidae,8.367,1,0.127217107,0.000127217
B1,Chironomidae,7.718,1,0.102795458,0.000102795
B1,Chironomidae,8.9,1,0.149744521,0.000149745
B1,Chironomidae,8.703,1,0.141152131,0.000141152
B1,Chironomidae,8.802,1,0.14543071,0.000145431
E9,Chironomidae,4.908,2,0.031113534,3.11135E-05
E9,Chironomidae,5.201,2,0.036260235,3.62602E-05
E9,Chironomidae,5.343,2,0.03893267,3.89327E-05
B1,Chironomidae,8.212,1,0.121089512,0.00012109
E9,Chironomidae,5.114,2,0.034680842,3.46808E-05
G1,Chironomidae,2.243,2,0.003936866,3.93687E-06
B1,Chironomidae,8.532,1,0.133947792,0.000133948
A2,Chironomidae,4.131,0,0.019739995,1.974E-05
B1,Chironomidae,7.934,1,0.110565777,0.000110566
B1,Chironomidae,8.896,1,0.149566912,0.000149567
B1,Chironomidae,9.466,1,0.176214193,0.000176214
B1,Chironomidae,9.031,1,0.155633809,0.000155634
B1,Chironomidae,8.409,1,0.128909942,0.00012891
A2,Chironomidae,4.078,0,0.019078402,1.90784E-05
B1,Chironomidae,9.259,1,0.166222766,0.000166223
A2,Chironomidae,5.514,0,0.042309079,4.23091E-05
C10,Chironomidae,9.119,4,0.159669503,0.00015967
A2,Chironomidae,4.611,0,0.026386419,2.63864E-05
A2,Chironomidae,4.257,0,0.02136953,2.13695E-05
F11,Chironomidae,4.442,0,0.023909402,2.39094E-05
C2,Chironomidae,4.257,2,0.02136953,2.13695E-05
C2,Chironomidae,3.607,2,0.013798349,1.37983E-05
F12,Chironomidae,5.14,2,0.03514827,3.51483E-05
E2,Chironomidae,6.896,7,0.07635862,7.63586E-05
D3,Chironomidae,4.905,6,0.031063352,3.10634E-05
F12,Chironomidae,6.145,2,0.056319541,5.63195E-05
G5,Chironomidae,6.745,3,0.07202341,7.20234E-05
D3,Chironomidae,8.541,6,0.134321134,0.000134321
E4,Chironomidae,4.708,4,0.027877226,2.78772E-05
E4,Chironomidae,4.983,4,0.032384505,3.23845E-05
B11,Chironomidae,5.455,2,0.041124391,4.11244E-05
F3,Chironomidae,10.924,4,0.257210675,0.000257211
F3,Chironomidae,10.144,4,0.211521111,0.000211521
F3,Chironomidae,10.172,4,0.21306597,0.000213066
F3,Chironomidae,9.973,4,0.202237406,0.000202237
F3,Chironomidae,10.433,4,0.22780415,0.000227804
F3,Chironomidae,7.732,4,0.103288458,0.000103288
A5,Chironomidae,5.016,1,0.032953777,3.29538E-05
F3,Chironomidae,11.12,4,0.269573975,0.000269574
F3,Chironomidae,10.624,4,0.238980138,0.00023898
F3,Chironomidae,10.848,4,0.252513423,0.000252513
F3,Chironomidae,5.372,4,0.039493023,3.9493E-05
F3,Chironomidae,5.371,4,0.039473617,3.94736E-05
F3,Chironomidae,4.799,4,0.029322386,2.93224E-05
G2,Chironomidae,4.73,1,0.028222451,2.82225E-05
A7,Chironomidae,5.114,0,0.034680842,3.46808E-05
D4,Chironomidae,5.841,2,0.049259222,4.92592E-05
B11,Chironomidae,5.209,2,0.036407665,3.64077E-05
A7,Chironomidae,5.217,0,0.036555467,3.65555E-05
E4,Chironomidae,4.367,4,0.022858354,2.28584E-05
C10,Chironomidae,9.637,4,0.184742932,0.000184743
C10,Chironomidae,7.179,4,0.084912213,8.49122E-05
A6,Chironomidae,6.211,4,0.057930565,5.79306E-05
A6,Chironomidae,5.898,4,0.050538449,5.05384E-05
A6,Chironomidae,3.546,4,0.013190813,1.31908E-05
A6,Chironomidae,2.763,4,0.006826638,6.82664E-06
A6,Chironomidae,9.146,4,0.160920615,0.000160921
A6,Chironomidae,3.034,4,0.008739417,8.73942E-06
A6,Chironomidae,9.564,4,0.181071368,0.000181071
A6,Chironomidae,4.576,4,0.025860946,2.58609E-05
A6,Chironomidae,6.593,4,0.067817323,6.78173E-05
A6,Chironomidae,5.572,4,0.04349413,4.34941E-05
A6,Chironomidae,8.721,4,0.141924156,0.000141924
A6,Chironomidae,5.979,4,0.052391485,5.23915E-05
A6,Chironomidae,4.955,4,0.03190631,3.19063E-05
A6,Chironomidae,5.115,4,0.034698748,3.46987E-05
A6,Chironomidae,8.668,4,0.139658453,0.000139658
C10,Chironomidae,9.616,4,0.183682036,0.000183682
C10,Chironomidae,8.034,4,0.114282925,0.000114283
C10,Chironomidae,8.398,4,0.128465237,0.000128465
C10,Chironomidae,5.102,4,0.034466416,3.44664E-05
C10,Chironomidae,9.671,4,0.186468628,0.000186469
B1,Chironomidae,7.295,1,0.088582535,8.85825E-05
B12,Chironomidae,8.755,0,0.14338957,0.00014339
B12,Chironomidae,3.89,0,0.016843342,1.68433E-05
B12,Chironomidae,4.236,0,0.021092353,2.10924E-05
B12,Chironomidae,4.903,0,0.031029925,3.10299E-05
B12,Chironomidae,4.438,0,0.023852604,2.38526E-05
B12,Chironomidae,4.79,0,0.029177433,2.91774E-05
D6,Chironomidae,9.258,0,0.166175376,0.000166175
D12,Chironomidae,5.699,4,0.046160423,4.61604E-05
C2,Chironomidae,4.632,2,0.02670486,2.67049E-05
C2,Chironomidae,4.685,2,0.027519127,2.75191E-05
C2,Chironomidae,1.986,2,0.002855134,2.85513E-06
C2,Chironomidae,3.374,2,0.011568161,1.15682E-05
H1,Chironomidae,8.759,0,0.143562586,0.000143563
C2,Chironomidae,4.684,2,0.027503623,2.75036E-05
A7,Chironomidae,4.772,0,0.028888865,2.88889E-05
A7,Chironomidae,4.57,0,0.025771523,2.57715E-05
A7,Chironomidae,4.616,0,0.026462023,2.6462E-05
F11,Chironomidae,3.878,0,0.016706517,1.67065E-05
B3,Chironomidae,4.85,6,0.030152235,3.01522E-05
A7,Chironomidae,5.31,0,0.038301066,3.83011E-05
E2,Chironomidae,5.684,7,0.045840365,4.58404E-05
D3,Chironomidae,8.769,6,0.143995695,0.000143996
E2,Chironomidae,3.443,7,0.012203238,1.22032E-05
E2,Chironomidae,7.024,7,0.080157546,8.01575E-05
F8,Chironomidae,4.034,2,0.018539759,1.85398E-05
D3,Chironomidae,5.187,6,0.036003127,3.60031E-05
A7,Chironomidae,4.827,0,0.029776208,2.97762E-05
A7,Chironomidae,4.577,0,0.025875868,2.58759E-05
A7,Chironomidae,4.71,0,0.027908502,2.79085E-05
A7,Chironomidae,4.65,0,0.0269797,2.69797E-05
A7,Chironomidae,2.922,0,0.00791329,7.91329E-06
D4,Chironomidae,5.724,2,0.04669693,4.66969E-05
D4,Chironomidae,5.717,2,0.04654632,4.65463E-05
D4,Chironomidae,4.835,2,0.029906668,2.99067E-05
D4,Chironomidae,3.613,2,0.013859027,1.3859E-05
D4,Chironomidae,4.985,2,0.032418831,3.24188E-05
E4,Chironomidae,4.643,4,0.02687261,2.68726E-05
A7,Chironomidae,6.526,0,0.066013018,6.6013E-05
A7,Chironomidae,4.723,0,0.028112321,2.81123E-05
D4,Chironomidae,4.037,2,0.01857618,1.85762E-05
D4,Chironomidae,5.679,2,0.045733986,4.5734E-05
B4,Chironomidae,4.332,0,0.022377874,2.23779E-05
H8,Chironomidae,5.605,4,0.044177481,4.41775E-05
A7,Chironomidae,5.245,0,0.037075706,3.70757E-05
A7,Chironomidae,5.546,0,0.042960385,4.29604E-05
A7,Chironomidae,4.317,0,0.022173892,2.21739E-05
A7,Chironomidae,4.803,0,0.029386953,2.9387E-05
B1,Chironomidae,8.855,1,0.147753963,0.000147754
B1,Chironomidae,7.723,1,0.102971362,0.000102971
E11,Chironomidae,5.27,3,0.03754407,3.75441E-05
C3,Chironomidae,4.753,4,0.028586195,2.85862E-05
C3,Chironomidae,2.524,4,0.005376222,5.37622E-06
A7,Chironomidae,4.805,0,0.029419269,2.94193E-05
A7,Chironomidae,4.758,0,0.028665653,2.86657E-05
A7,Chironomidae,5.719,0,0.046589321,4.65893E-05
A9,Chironomidae,4.581,2,0.025935612,2.59356E-05
A9,Chironomidae,3.243,2,0.010419845,1.04198E-05
A9,Chironomidae,4.313,2,0.022119693,2.21197E-05
A9,Chironomidae,4.692,2,0.02762781,2.76278E-05
A9,Chironomidae,4.671,2,0.02730256,2.73026E-05
A9,Chironomidae,4.418,2,0.023569871,2.35699E-05
A9,Chironomidae,4.011,2,0.018262001,1.8262E-05
A9,Chironomidae,2.903,2,0.007778171,7.77817E-06
A9,Chironomidae,4.407,2,0.02341526,2.34153E-05
A9,Chironomidae,5.207,2,0.036370773,3.63708E-05
A9,Chironomidae,4.42,2,0.02359805,2.35981E-05
A9,Chironomidae,3.075,2,0.009054666,9.05467E-06
A9,Chironomidae,6.821,2,0.074185696,7.41857E-05
D6,Chironomidae,4.304,0,0.021998046,2.1998E-05
D6,Chironomidae,7.028,0,0.080278112,8.02781E-05
H1,Chironomidae,3.217,0,0.01020075,1.02008E-05
D12,Chironomidae,5.166,4,0.035619592,3.56196E-05
E10,Chironomidae,6.523,2,0.065932934,6.59329E-05
B1,Chironomidae,4.926,1,0.031415687,3.14157E-05
D6,Chironomidae,6.553,0,0.066736491,6.67365E-05
A9,Chironomidae,3.476,2,0.012514454,1.25145E-05
A9,Chironomidae,5.151,2,0.0353472,3.53472E-05
B6,Chironomidae,7.761,7,0.104314338,0.000104314
D6,Chironomidae,9.065,0,0.157185448,0.000157185
D6,Chironomidae,8.371,0,0.12737773,0.000127378
C5,Chironomidae,22.495,2,1.731682855,0.001731683
D6,Chironomidae,9.386,0,0.172309799,0.00017231
D6,Chironomidae,9.188,0,0.162878863,0.000162879
D6,Chironomidae,8.433,0,0.129883526,0.000129884
D6,Chironomidae,7.655,0,0.100595056,0.000100595
F11,Chironomidae,3.717,0,0.014937217,1.49372E-05
A9,Chironomidae,3.004,2,0.008513127,8.51313E-06
D6,Chironomidae,6.701,0,0.070789674,7.07897E-05
H1,Chironomidae,1.122,0,0.000632328,6.32328E-07
F11,Chironomidae,3.881,0,0.016740659,1.67407E-05
A9,Chironomidae,4.022,2,0.018394517,1.83945E-05
A9,Chironomidae,6.099,2,0.055213352,5.52134E-05
A9,Chironomidae,6.418,2,0.063167918,6.31679E-05
H1,Chironomidae,1.758,0,0.002069241,2.06924E-06
D6,Chironomidae,7.479,0,0.094603728,9.46037E-05
D9,Chironomidae,5.362,6,0.039299235,3.92992E-05
D9,Chironomidae,3.543,6,0.013161372,1.31614E-05
D9,Chironomidae,4.805,6,0.029419269,2.94193E-05
G5,Chironomidae,5.793,3,0.048197736,4.81977E-05
B1,Chironomidae,9.31,1,0.16865083,0.000168651
D3,Chironomidae,8.371,6,0.12737773,0.000127378
E4,Chironomidae,4.44,4,0.023880992,2.3881E-05
F8,Chironomidae,4.513,2,0.02493158,2.49316E-05
G8,Chironomidae,3.603,0,0.01375799,1.3758E-05
F8,Chironomidae,4.984,2,0.032401665,3.24017E-05
B1,Chironomidae,9.079,1,0.15782714,0.000157827
F8,Chironomidae,5.638,2,0.044867463,4.48675E-05
F8,Chironomidae,4.955,2,0.03190631,3.19063E-05
F3,Chironomidae,7.784,4,0.105132451,0.000105132
B1,Chironomidae,7.133,1,0.083483374,8.34834E-05
E4,Chironomidae,3.296,4,0.010875458,1.08755E-05
H8,Chironomidae,4.685,4,0.027519127,2.75191E-05
E4,Chironomidae,4.937,4,0.031601229,3.16012E-05
B1,Chironomidae,9.687,1,0.187284172,0.000187284
B1,Chironomidae,9.512,1,0.178483875,0.000178484
B1,Chironomidae,8.677,1,0.140041599,0.000140042
B1,Chironomidae,8.693,1,0.140724359,0.000140724
H4,Chironomidae,4.477,4,0.02440997,2.441E-05
B11,Chironomidae,4.32,2,0.022214596,2.22146E-05
B1,Chironomidae,8.744,1,0.142914442,0.000142914
B1,Chironomidae,8.766,1,0.143865677,0.000143866
B1,Chironomidae,8.826,1,0.146479916,0.00014648
B1,Chironomidae,4.926,1,0.031415687,3.14157E-05
E4,Chironomidae,4.207,4,0.020713274,2.07133E-05
B1,Chironomidae,5.263,1,0.03741256,3.74126E-05
B1,Chironomidae,9.953,1,0.201168462,0.000201168
B1,Chironomidae,9.262,1,0.166364988,0.000166365
B1,Chironomidae,9.529,1,0.179327241,0.000179327
B1,Chironomidae,7.78,1,0.104989885,0.00010499
B1,Chironomidae,6.689,1,0.070455497,7.04555E-05
B1,Chironomidae,4.559,1,0.025608082,2.56081E-05
B12,Chironomidae,7.703,0,0.102268869,0.000102269
B1,Chironomidae,9.2,1,0.163441067,0.000163441
E4,Chironomidae,3.342,4,0.011280759,1.12808E-05
B1,Chironomidae,9.605,1,0.183127842,0.000183128
B1,Chironomidae,10.616,1,0.23850535,0.000238505
G10,Chironomidae,3.914,2,0.017119075,1.71191E-05
B1,Chironomidae,9.097,1,0.15865456,0.000158655
B1,Chironomidae,9.034,1,0.155770334,0.00015577
B1,Chironomidae,7.625,1,0.099557624,9.95576E-05
B12,Chironomidae,4.962,0,0.032025445,3.20254E-05
B1,Chironomidae,9.754,1,0.190723315,0.000190723
E10,Chironomidae,8.283,2,0.123873027,0.000123873
D12,Chironomidae,5.009,4,0.032832507,3.28325E-05
B1,Chironomidae,9.531,1,0.179426623,0.000179427
B1,Chironomidae,9.383,1,0.17216444,0.000172164
F11,Chironomidae,2.264,0,0.004034921,4.03492E-06
E2,Chironomidae,5.169,7,0.035674227,3.56742E-05
B12,Chironomidae,4.984,0,0.032401665,3.24017E-05
C10,Chironomidae,5.375,4,0.039551274,3.95513E-05
B12,Chironomidae,4.544,0,0.025386247,2.53862E-05
E11,Chironomidae,4.633,3,0.026720083,2.67201E-05
E11,Chironomidae,5.064,3,0.033792839,3.37928E-05
F12,Chironomidae,5.481,2,0.041643881,4.16439E-05
B12,Chironomidae,4.973,0,0.032213214,3.22132E-05
B12,Chironomidae,4.915,0,0.031230823,3.12308E-05
D12,Chironomidae,7.688,4,0.101743959,0.000101744
B11,Chironomidae,4.98,2,0.032333059,3.23331E-05
G3,Chironomidae,3.264,2,0.010598923,1.05989E-05
G3,Chironomidae,2.272,2,0.004072671,4.07267E-06
F11,Chironomidae,6.556,0,0.066817179,6.68172E-05
H8,Chironomidae,3.817,4,0.016021672,1.60217E-05
G2,Chironomidae,2.658,1,0.006162919,6.16292E-06
B12,Chironomidae,4.73,0,0.028222451,2.82225E-05
D6,Chironomidae,6.955,0,0.078095455,7.80955E-05
G10,Chironomidae,5.292,2,0.037959256,3.79593E-05
D4,Chironomidae,4.338,2,0.022459792,2.24598E-05
B12,Chironomidae,4.479,0,0.024438769,2.44388E-05
G5,Chironomidae,7.88,3,0.108590176,0.00010859
D3,Chironomidae,8.613,6,0.137331152,0.000137331
C3,Chironomidae,5.15,4,0.035329087,3.53291E-05
G1,Chironomidae,3.087,2,0.00914825,9.14825E-06
D3,Chironomidae,7.546,6,0.096857594,9.68576E-05
E7,Chironomidae,8.707,4,0.141323466,0.000141323
E7,Chironomidae,5.895,4,0.050470613,5.04706E-05
B12,Chironomidae,5.004,0,0.032746056,3.27461E-05
H5,Chironomidae,4.83,2,0.029825089,2.98251E-05
C3,Chironomidae,5.828,4,0.048970317,4.89703E-05
F3,Chironomidae,10.592,4,0.237084505,0.000237085
F3,Chironomidae,9.999,4,0.203632299,0.000203632
E4,Chironomidae,5.096,4,0.034359512,3.43595E-05
F3,Chironomidae,9.228,4,0.16475756,0.000164758
B11,Chironomidae,4.448,2,0.023994756,2.39948E-05
G2,Chironomidae,4.212,1,0.020778328,2.07783E-05
E4,Chironomidae,5.295,4,0.038016092,3.80161E-05
D6,Chironomidae,7.636,0,0.09993724,9.99372E-05
G8,Chironomidae,5.057,0,0.033669659,3.36697E-05
H8,Chironomidae,4.812,4,0.029532551,2.95326E-05
D4,Chironomidae,3.551,2,0.013239973,1.324E-05
B12,Chironomidae,4.462,0,0.024194652,2.41947E-05
D12,Chironomidae,5.209,4,0.036407665,3.64077E-05
D6,Chironomidae,8.221,0,0.121440178,0.00012144
G10,Chironomidae,3.528,2,0.013014778,1.30148E-05
G8,Chironomidae,6.071,0,0.054546682,5.45467E-05
B12,Chironomidae,4.731,0,0.028238206,2.82382E-05
H9,Chironomidae,4.272,1,0.021568891,2.15689E-05
B12,Chironomidae,4.692,0,0.02762781,2.76278E-05
B4,Chironomidae,4.765,0,0.028777124,2.87771E-05
C3,Chironomidae,5.853,4,0.049526841,4.95268E-05
G8,Chironomidae,4.898,0,0.030946455,3.09465E-05
G10,Chironomidae,2.527,2,0.005393109,5.39311E-06
B12,Chironomidae,5.027,0,0.033144905,3.31449E-05
B12,Chironomidae,4.23,0,0.021013573,2.10136E-05
B12,Chironomidae,4.503,0,0.024786001,2.4786E-05
G8,Chironomidae,5.129,0,0.034950038,3.495E-05
D6,Chironomidae,4.831,0,0.029841394,2.98414E-05
H1,Chironomidae,4.137,0,0.019815777,1.98158E-05
D12,Chironomidae,4.568,4,0.025741759,2.57418E-05
